Start Time, 2026-05-01 00:00:00
End Time, 2026-05-15 23:59:59
AdGroup ID,AdGroup Name,Campaign ID,Campaign Name,Query,Views,Clicks,Average CPC,Click Through Rate in %, Direct Units Sold,Indirect Units Sold,Direct Conversion Rate in %,Indirect Conversion Rate in %,Direct Revenue,Indirect Revenue,ROI,SUM(cost)
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,car dashboard mats,183,3,0.8600,1.6393,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,2.5800
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,car damping sheet,170,0,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,car paper,160,6,0.9100,3.7500,1,0,16.6667,0.0000,151.0000,0.0000,27.6557,5.4600
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,stationery,158,0,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,jk a4 paper,156,2,0.7600,1.2821,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.5200
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,gfx car mat,151,5,0.8600,3.3113,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,4.3000
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,bamboo products,146,1,1.2500,0.6849,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.2500
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,bamboo cutting board,143,9,1.2500,6.2937,1,0,11.1111,0.0000,200.0000,0.0000,17.7778,11.2500
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,Shopping board,136,1,1.2500,0.7353,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.2500
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,kitchen products under 200,133,4,1.2500,3.0075,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,dashboard mat for car,131,1,0.8600,0.7634,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.8600
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,veg cutter wood,130,0,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,Wooden chopping board,129,5,1.2500,3.8760,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,6.2500
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,thermal label roll,126,15,0.8467,11.9048,1,0,6.6667,0.0000,353.0000,0.0000,27.7953,12.7000
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,mrp sticker,126,8,0.7600,6.3492,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,6.0800
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,tsc printer,126,2,0.8100,1.5873,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.6200
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,printer paper a4,125,0,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,label sticker,125,1,0.7600,0.8000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,cutting board wood,122,0,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,shopping board,119,1,1.2500,0.8403,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.2500
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,thermal sticker roll,118,6,0.8100,5.0847,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,4.8600
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,vegetable cutter board wood,117,4,1.2500,3.4188,1,0,25.0000,0.0000,200.0000,0.0000,40.0000,5.0000
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,car mating,117,1,0.8600,0.8547,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.8600
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,bamboo kitchen items,116,0,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,ikea kitchen products,114,1,1.2500,0.8772,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.2500
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,foot mat for car,112,4,0.8600,3.5714,1,0,25.0000,0.0000,298.0000,0.0000,86.6279,3.4400
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,vegetable wood cutter,112,7,1.2500,6.2500,1,0,14.2857,0.0000,198.0000,0.0000,22.6286,8.7500
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,price sticker,111,12,0.7683,10.8108,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,9.2200
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,car door mats,111,2,0.8600,1.8018,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.7200
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,chopper board wooden,110,3,1.2500,2.7273,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,3.7500
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,label roll,110,13,0.8369,11.8182,3,0,23.0769,0.0000,1059.0000,0.0000,97.3346,10.8800
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,label,110,2,0.7600,1.8182,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.5200
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,shipping label printer,108,1,0.7600,0.9259,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,vegetable,107,1,1.2500,0.9346,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.2500
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,printer label,106,0,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,kitchen,104,2,1.2500,1.9231,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,2.5000
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,qpo car mat,102,0,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,ertiga car mats,102,0,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,xerox paper,101,1,0.7600,0.9901,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,car accessories all type,100,0,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,Car paper mat,100,5,0.9600,5.0000,1,0,20.0000,0.0000,414.0000,0.0000,86.2500,4.8000
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,vegetable cutting table,100,2,1.2500,2.0000,1,0,50.0000,0.0000,264.0000,0.0000,105.6000,2.5000
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,a4 size paper for printer,98,0,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,vegetable cutter pad with knife,96,0,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,chopping board fiber,95,0,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,meat cutting board wooden kitchen,91,0,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,kitchen all products,91,1,1.2500,1.0989,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.2500
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,under 10 rupees product,88,1,0.8600,1.1364,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.8600
